Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2020-07-14 16:15:19.237,p1,A2,,A1,completed
2020-07-14 16:15:21.404,p1,A3,,A2,completed
2020-07-14 16:15:22.207,p1,A4,,A4,completed
2020-07-14 16:15:23.071,p1,A5,,A6,completed
2020-07-14 16:15:26.399,p1,A6,,D6,completed
2020-07-14 16:16:50.764,p2,A2,,D4,completed
2020-07-14 16:16:52.654,p2,A3,,D7,skipped
2020-07-14 16:16:54.712,p2,A4,,D8,completed
2020-07-14 16:16:55.542,p2,A5,,D9,completed
2020-07-14 16:19:36.596,p3,B6,,D10,completed
2020-07-14 16:19:37.656,p3,B5,,B3,completed
2020-07-14 16:19:38.811,p3,H1,,B12,completed
2020-07-14 16:19:39.385,p3,H2,,B10,completed
2020-07-14 16:19:40.031,p3,H3,,B9,completed
