Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2020-07-14 07:26:55.569,p1,A2,,A1,completed
2020-07-14 07:27:02.710,p1,A3,,A2,completed
2020-07-14 07:27:04.850,p1,A4,,A4,skipped
2020-07-14 07:27:06.952,p1,A5,,A6,skipped
2020-07-14 07:27:06.952,p1,A6,,D6,skipped
2020-07-14 07:27:11.951,p2,A2,,D4,failed
2020-07-14 07:27:12.746,p2,A3,,D7,completed
2020-07-14 07:27:13.577,p2,A4,,D8,completed
,p2,A5,,D9,uncompleted
,p3,B6,,D10,uncompleted
,p3,B5,,B3,uncompleted
,p3,H1,,B12,uncompleted
,p3,H2,,B10,uncompleted
,p3,H3,,B9,uncompleted
