Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2020-07-14 07:29:17.626,p1,A2,,A1,completed
2020-07-14 07:29:19.070,p1,A3,,A2,completed
2020-07-14 07:29:20.111,p1,A4,,A4,completed
2020-07-14 07:29:23.829,p1,A5,,A6,completed
,p1,A6,,D6,uncompleted
,p2,A2,,D4,uncompleted
,p2,A3,,D7,uncompleted
,p2,A4,,D8,uncompleted
,p2,A5,,D9,uncompleted
,p3,B6,,D10,uncompleted
,p3,B5,,B3,uncompleted
,p3,H1,,B12,uncompleted
,p3,H2,,B10,uncompleted
,p3,H3,,B9,uncompleted
