source plate,source well,destination well
PB13_1F,J22,D13
PB13_1F,K13,D14
PB13_1F,K14,D15
PB13_1F,K17,D16
PB13_1F,K22,D17
PB13_1F,L15,D18
PB13_1F,L19,D19
PB13_1F,M1,D20
PB13_1F,M8,D21
PB13_1F,M17,D22
PB13_1F,N12,D23
PB13_1F,N16,D24
PB13_1F,O12,E1
PB13_1F,O19,E2
PB13_1F,O21,E3
PB13_1F,P14,E4
PB13_1F,P18,E5
PB13_1F,P19,E6
PB12_1F,D16,E7
PB12_1F,D17,E8
PB12_1F,D18,E9
PB12_1F,D20,E10
PB12_1F,E16,E11
PB12_1F,F1,E12
PB12_1F,G9,E13
PB12_1F,G22,E14
PB12_1F,H7,E15
PB12_1F,H16,E16
PB12_1F,I7,E17
PB12_1F,I8,E18
PB12_1F,I9,E19
PB12_1F,I20,E20
PB12_1F,J21,E21
PB12_1F,L4,E22
PB12_1F,L8,E23
PB12_1F,M4,E24
PB12_1F,M8,F1
PB12_1F,O3,F2
PB12_1F,O5,F3
PB19_1F,A22,F4
PB19_1F,I2,F5
PB19_1F,J11,F6
PB19_1F,K24,F7
PB19_1F,L22,F8
PB19_1F,L24,F9
PB19_1F,O22,F10
PB19_1F,P24,F11
PB11_5F,F5,F12
PB11_5F,F14,F13
PB11_5F,J11,F14
PB15_2F,C15,F15
PB14_4F,B18,F16
PB14_4F,C8,F17
PB14_4F,C23,F18
PB14_4F,D10,F19
PB14_4F,D24,F20
PB14_4F,F9,F21
PB14_4F,F10,F22
PB14_4F,F11,F23
PB14_4F,G8,F24
PB14_4F,G15,G1
PB14_4F,G18,G2
PB14_4F,H6,G3
PB14_4F,H22,G4
PB14_4F,I2,G5
PB14_4F,J3,G6
PB14_4F,J5,G7
PB14_4F,J21,G8
PB14_4F,J23,G9
PB14_4F,K16,G10
PB14_4F,L9,G11
PB14_4F,M2,G12
PB14_4F,N1,G13
PB14_4F,N9,G14
PB14_4F,N10,G15
PB14_4F,N19,G16
PB14_4F,N20,G17
PB13_2F,A6,G18
PB13_2F,A7,G19
PB13_2F,B5,G20
PB13_2F,B18,G21
PB13_2F,C7,G22
PB13_2F,C10,G23
PB13_2F,C11,G24
PB13_2F,C19,H1
PB13_2F,D9,H2
PB13_2F,D10,H3
PB13_2F,D14,H4
PB13_2F,D22,H5
PB13_2F,E17,H6
PB13_2F,F1,H7
PB13_2F,F20,H8
PB13_2F,F21,H9
PB13_2F,G1,H10
PB13_2F,G16,H11
PB13_2F,G19,H12
PB13_2F,G21,H13
PB13_2F,G23,H14
PB13_2F,H2,H15
PB13_2F,H23,H16
PB13_2F,I5,H17
PB13_2F,I11,H18
PB13_2F,I23,H19
PB13_2F,J2,H20
PB13_2F,J5,H21
PB13_2F,J8,H22
PB13_2F,K18,H23
PB13_2F,K22,H24
PB13_2F,N4,I1
PB13_2F,N12,I2
PB13_2F,N22,I3
PB13_2F,O12,I4
PB13_2F,O22,I5
PB13_2F,P8,I6
PB13_2F,P17,I7
PB16_1F,B20,I8
PB16_1F,C14,I9
PB16_1F,D16,I10
